"order_channel","order_number","order_date","order_time_local","day_of_week","hour_of_day","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","store_type","order_type","scheduled_or_asap_order","fulfillment_type","cash_order","customer_type","gh_plus_customer","order_subtotal_before_adjustments","order_subtotal_adjustments","order_subtotal","order_self_delivery_charge","order_merchant_fees","order_sales_tax","order_tip","order_total","order_commission","order_delivery_commission","order_gh_plus_commission","order_processing_fee","order_withheld_sales_tax","order_merchant_funded_promotion_and_loyalty","order_merchant_total","order_time_to_expected_ready_time_minutes","order_time_to_actually_ready_time_minutes","order_time_to_driver_arrived_time_minutes","order_time_to_driver_departed_time_minutes","order_time_to_dropoff_start_time_minutes","ghd_driver_wait_time","order_on_time","overall_rating_value","review_text"
"Marketplace","703923969099674","2023-10-06","05:37:20 PM","Friday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","non GH+","29.98","-29.98","0.00","0.00","0.00","0.00","0.00","0.00","-3.75","-3.00","0.00","-1.31","0.00","0.00","-8.06","15","13","15","15","25","0","On-time",,
"Marketplace","822324248110551","2023-11-03","05:57:09 PM","Friday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","GH+","26.69","0.00","26.69","0.00","0.00","2.67","0.00","29.36","-3.34","-2.67","0.00","-1.20","-2.67","0.00","19.48","15","7","33","34","40","1","Early","5",
"Marketplace","966724432821116","2023-11-22","05:45:58 PM","Wednesday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","33.94","0.00","33.94","0.00","0.00","3.39","0.00","37.33","-4.24","-3.39","0.00","-1.44","-3.39","0.00","24.87","15","9","36","37","57","2","Early",,
"Marketplace","910122084957479","2023-04-01","12:45:37 PM","Saturday","12 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","38.04","0.00","38.04","0.00","0.00","3.80","0.00","41.84","-4.76","-3.80","0.00","-1.58","-3.80","0.00","27.90","15","27","44","45","58","1","Late",,
"Marketplace","874822231426596","2023-04-16","02:11:05 PM","Sunday","2 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","New","GH+","13.49","0.00","13.49","0.00","0.00","1.35","0.00","14.84","-1.69","-1.35","0.00","-0.75","-1.35","0.00","9.70","15","29","46","58","79","11","Late",,
"Marketplace","866822285183285","2023-04-20","08:10:26 PM","Thursday","8 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Returning","GH+","33.23","0.00","33.23","0.00","0.00","3.32","0.00","36.55","-4.15","-3.32","0.00","-1.41","-3.32","0.00","24.35","15",,"10","12","18","0","On-time",,
"Marketplace","874822321427949","2023-04-25","05:25:59 PM","Tuesday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","Loyal","non GH+","12.24","0.00","12.24","0.00","0.00","1.22","0.00","13.46","-1.53","-1.22","0.00","-0.71","-1.22","0.00","8.78","15","12","15","16","23","1","On-time",,
"Marketplace","683222361866179","2023-04-29","05:34:00 PM","Saturday","5 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Pick-Up","No","Returning","non GH+","33.91","0.00","33.91","0.00","0.00","3.39","0.00","37.30","-4.24","0.00","0.00","-1.44","-3.39","0.00","28.23","25","8",,,,,"Early",,
"Marketplace","502422302438490","2023-04-23","04:31:34 PM","Sunday","4 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Pick-Up","No","Returning","non GH+","36.71","0.00","36.71","0.00","0.00","3.67","8.00","48.38","-4.59","0.00","0.00","-1.78","-3.67","0.00","38.34","25","8",,,,,"Early",,
"Marketplace","420022281074584","2023-04-21","06:49:12 PM","Friday","6 PM","America/Chicago","2033698",,"El Faro 2","3422 S Harlem Ave  ","Riverside","IL","60546",,"Standard Order","ASAP","Grubhub Delivery","No","New","GH+","45.43","0.00","45.43","0.00","0.00","4.54","0.00","49.97","-5.68","-4.54","0.00","-1.82","-4.54","0.00","33.39","15",,"10","11","54","0","On-time",,
